Omega_m,Omega_b,Omega_Lambda,Hubble_parameter
0.416834487504237,0.03214521848814628,0.583165512495763,0.8157745807428054
0.36293344291238194,0.03835109076176546,0.6370665570876181,0.5672614797921484
0.319600547839632,0.0324822104872467,0.680399452160368,0.8260872232428449
0.20065873861517228,0.057344385323093994,0.7993412613848278,0.7040796150150261
0.3900083199222654,0.023419531914018188,0.6099916800777345,0.7745590581634598
0.44013269786289627,0.09825809467942526,0.5598673021371037,0.7308745144973589
0.27779674984674113,0.0948841038745078,0.7222032501532589,0.5561865483438262
0.36022286208396614,0.08304388720774603,0.6397771379160339,0.6181794368850936
0.41129285050992065,0.021463951944866055,0.5887071494900793,0.6339473565825817
0.19063000687722592,0.021731178083312513,0.809369993122774,0.6261847709362086
0.45132522942374437,0.07896821767774148,0.5486747705762556,0.6576687092291318
0.27260678047080256,0.03837725517592222,0.7273932195291974,0.7648444207301358
0.34016002045897736,0.07243096721677089,0.6598399795410226,0.6732245620402626
0.34653808656492474,0.08298904380649674,0.6534619134350752,0.7831222303884228
0.2920768304494786,0.08705920176070753,0.7079231695505215,0.588062809883445
0.386909293816257,0.06344349844550001,0.613090706183743,0.8231367896485614
0.20234341848608609,0.08815469533736434,0.7976565815139139,0.5772967544547202
0.4386958147822921,0.04878040360800712,0.5613041852177079,0.6483583736413516
0.19859103907301734,0.06414543328083874,0.8014089609269827,0.745686572796074
0.27427912359484535,0.06256505990626171,0.7257208764051546,0.6956518361906032
0.26392914610084506,0.04498453671773861,0.7360708538991549,0.6103951628011819
0.4591822735220851,0.06256175588844742,0.5408177264779148,0.5954799804987119
0.24020166698686393,0.039801906475667614,0.759798333013136,0.8107989726984252
0.36190770772259706,0.05429118397270427,0.6380922922774029,0.6644153432592951
0.2145138796322052,0.039584516466042136,0.7854861203677947,0.6776414425148171
0.4185877286760061,0.02275677912697155,0.581412271323994,0.7251604311852757
0.28379564229860843,0.035188929329238755,0.7162043577013916,0.7211294142726142
0.25062399358612625,0.04272853713024294,0.7493760064138737,0.6444509826456774
0.21018911839461807,0.0924098461210989,0.7898108816053819,0.7098861154199061
0.31126322018154,0.06425924623667262,0.68873677981846,0.6002374345041149
0.20057395904056566,0.09875724745447717,0.7994260409594344,0.8048382657639916
0.16476262375568843,0.024212926476189972,0.8352373762443116,0.7366705686896668
0.3381836398146754,0.08179243077891624,0.6618163601853246,0.6094064023357988
0.26350299123192483,0.04384744017348571,0.7364970087680751,0.8496249232920687
0.3427515890272008,0.022977443691678923,0.6572484109727992,0.8321078483856391
0.2248580487006141,0.044881257187188245,0.7751419512993859,0.5690880910217294
0.32394295717426674,0.03387351073300404,0.6760570428257333,0.6606736186254769
0.4572080909517816,0.08470062303237424,0.5427919090482184,0.5803650631162807
0.46865984634100954,0.07494630596723606,0.5313401536589905,0.7965422869817191
0.33920933456371033,0.02848984236180696,0.6607906654362896,0.7494320061921496
0.42674024975781755,0.042073455303476726,0.5732597502421825,0.83962906965267
0.26959922878108095,0.079012291991619,0.7304007712189191,0.7842401797711177
0.26442212603868565,0.047157752540186476,0.7355778739613144,0.7149321841882089
0.17847280379219613,0.03678067389821443,0.8215271962078039,0.552280180770304
0.3978455567612138,0.04227984697799664,0.6021544432387862,0.7542469210542639
0.30577415739776487,0.0789349593520387,0.6942258426022352,0.6927052004895007
0.20754868853482414,0.027824510977775718,0.7924513114651759,0.6857034858637406
0.17005833906000206,0.05826083946569402,0.8299416609399979,0.7908192779829539
0.28680047029460404,0.05144930018834018,0.7131995297053959,0.7700945796662848
0.3775236005151721,0.06648347170964952,0.6224763994848279,0.6380693207278748
