# Log10(wave)  Resid
 3.5496000 0.665556
 3.5497000 0.665556
 3.5498000 0.859479
 3.5499000 1.05340
 3.5500000 1.20916
 3.5501000 1.05550
 3.5502000 1.11969
 3.5503000 1.14045
 3.5504000 1.16120
 3.5505000 0.934480
 3.5506000 1.00011
 3.5507000 1.08741
 3.5508000 1.14884
 3.5509000 1.08441
 3.5510000 1.01968
 3.5511000 1.00965
 3.5512000 1.08026
 3.5513000 1.00368
 3.5514000 1.11699
 3.5515000 0.996907
 3.5516000 1.04898
 3.5517000 1.10194
 3.5518000 1.10181
 3.5519000 1.12581
 3.5520000 1.10444
 3.5521000 0.991517
 3.5522000 0.961875
 3.5523000 0.974119
 3.5524000 1.04558
 3.5525000 1.10194
 3.5526000 1.09439
 3.5527000 1.00620
 3.5528000 0.942949
 3.5529000 0.981581
 3.5530000 1.06507
 3.5531000 1.08410
 3.5532000 1.05848
 3.5533000 1.01714
 3.5534000 1.00682
 3.5535000 1.02321
 3.5536000 1.01678
 3.5537000 1.01574
 3.5538000 1.01105
 3.5539000 1.01298
 3.5540000 0.987667
 3.5541000 0.972717
 3.5542000 0.979696
 3.5543000 0.994690
 3.5544000 1.01438
 3.5545000 0.976704
 3.5546000 0.966942
 3.5547000 0.971776
 3.5548000 1.00873
 3.5549000 0.992938
 3.5550000 1.01006
 3.5551000 1.02004
 3.5552000 1.01421
 3.5553000 1.03894
 3.5554000 1.01474
 3.5555000 1.00329
 3.5556000 1.00640
 3.5557000 1.02308
 3.5558000 1.02400
 3.5559000 1.03199
 3.5560000 1.03167
 3.5561000 1.01663
 3.5562000 1.01598
 3.5563000 1.00275
 3.5564000 1.02589
 3.5565000 1.03691
 3.5566000 1.02286
 3.5567000 1.01157
 3.5568000 1.00734
 3.5569000 1.00750
 3.5570000 0.984287
 3.5571000 1.00187
 3.5572000 1.00759
 3.5573000 0.995822
 3.5574000 0.991444
 3.5575000 0.981135
 3.5576000 1.00125
 3.5577000 1.01077
 3.5578000 1.02255
 3.5579000 1.00046
 3.5580000 1.01089
 3.5581000 1.02436
 3.5582000 1.03562
 3.5583000 1.04432
 3.5584000 1.06452
 3.5585000 1.04105
 3.5586000 1.02814
 3.5587000 1.03853
 3.5588000 1.03987
 3.5589000 1.03640
 3.5590000 1.03298
 3.5591000 1.01670
 3.5592000 1.02748
 3.5593000 1.03265
 3.5594000 1.01853
 3.5595000 1.05040
 3.5596000 1.05084
